Name,Other Names,Owner,Operator,Vessel Categor,Vessel Description,Vessel Classification,Maximum Endurance,Heli Deck,Maximum Working Depth,Flag,Construction Country,Construction Location,Year Built,Year Last Converted,Date of Delivery,Main Characteristics,Breadth,Minimum Draft,Maximum Draft,Passengers
Adhémar de Saint-Venant,JDN8625,Jan de Nul Group,Jan de Nul Group,Cable Installation,Cable laying vessel,,,No,500 m,,CN,AVIC Weihai Shipyard,2017,,15-Jun-2017,95 m,22 m,,6.5 m,,
Aethra,Polar Prince,Assodivers,S&O Ship Management,Cable Installation,Cable laying vessel,ABS ✠ A1| AMS| HELIDK| R2| ACCU| DPS-2| NBLES,,Yes,,Norway,NO,Flekkefjord Slipp and Maskinfabrikk A/S,1999,2015,05-Jun-1999,94.1 m,22 m,,7.1 m,50 persons,
Assodiver VII,,Assodivers,Assodivers,Cable Installation,Cable lay barge,Greek Maritime Inspection Bureau,,No,,Greece,,,1987,,1987,35 m,15.35 m,,1.7 m,,
Atalanti,,Kreousa Shipping Company Ltd,Assodivers,Cable Installation,Cable lay barge,ABS ✠ A1 Barge| DPS-2,,No,,Cyprus,CN,Sanfu Shipyard,2008,2014,23-Sep-2008,96.99 m,31.46 m,3 m,4.26 m,57 persons,
Atlantic Carrier,,Atlantic Marine & Aviation LLP,Atlantic Marine & Aviation LLP,Cable Installation,Multi purpose,DNV GL ✠ 1A1 DPS(2) E0,,No,,Liberia,NO,Ulstein hatlo AS,1974,2001,29-Apr-1974,82.35 m,18.3 m,3.6 m,4.5 m,14 persons,
Atlantic Supporter,DPV Supporter;Red7 Reel; OSV DP Reel,Atlantic Marine & Aviation LLP,Atlantic Marine & Aviation LLP,Cable Installation,Cable laying vessel,RINA C Supply Vessel AUT_UMS DYNAPOS AM/AT R,30 days,No,,St. Vincent & the Grenadines,NO,Verlksted AS,1976,2005,1976,90.52 m,18 m,,4.5 m,,
Big Max,,MOBRO Marine Inc.,MOBRO Marine Inc.,Cable Installation,Cable lay barge,,,No,,United States,US,Moody Brothers,2010,,31-Mar-2010,79.27 m,21.95 m,,,,
BoDo Constructor,,Bohlen & Doyen GmbH,Bohlen & Doyen GmbH,Cable Installation,Cable lay barge,DNV GL ✠ 100 A 5RSA (50) Pontoon “Cable Layer Barge” A-MC DP1,,No,,Germany,PL,Gdynia/Swinoujscie,2016,,Jun-2016,125.92 m,32.96 m,,3.5 m,,
BoDo Installer,OceanTeam Installer,Bohlen & Doyen GmbH,Bohlen & Doyen GmbH,Cable Installation,Cable lay barge,DNV GL ✠ 100 A5 Pontoon M,,No,,Germany,NO,P Hoejvolds Mek Versted AS,1982,2006,Oct-1982,81.6 m,22 m,1.13 m,2.47 m,,
Cable Enterprise,Smit Anambas,Prysmian PowerLink Services Ltd,Prysmian PowerLink Services Ltd,Cable Installation,Cable lay barge,ABS ✠ A1| Barge| DPS-2 Unrestricted Service,,No,,United Kingdom,ID,PT Esprit Engineering Batam Shipyard,2001,01/04/2014,11-Oct-2001,115 m,31.6 m,,5.17 m,,
Cable One,,JD-Contractor AS,JD-Contractor AS,Cable Installation,Cable laying vessel,RINA - CLV/DSV,25 days,No,,Denmark,GB,Goole Shipbuilding & Repair Co. Ltd| Goole| Yorkshire,1975,2012,1975,35.3 m,9.5 m,4.6 m,5.5 m,11 persons,
